X,Y,Rotation,Main Thread,Render Thread,FPS
-4.314934,1.600000,0.000000,0.000000,0.000000,257.678800
-4.314934,1.600000,0.050808,0.000000,0.000000,196.819400
-4.314934,1.600000,0.089408,0.000000,0.000000,259.067400
-4.314934,1.600000,0.127005,0.000000,0.000000,265.978700
-4.314934,1.600000,0.163537,0.000000,0.000000,273.732600
-4.314934,1.600000,0.199590,0.000000,0.000000,277.369400
-4.314934,1.600000,0.238477,0.000000,0.000000,257.155400
-4.314934,1.600000,0.274699,0.000000,0.000000,276.075300
-4.314934,1.600000,0.313861,0.000000,0.000000,255.349600
-4.314934,1.600000,0.353857,0.000000,0.000000,250.025000
-4.314934,1.600000,0.390264,0.000000,0.000000,274.672500
-4.314934,1.600000,0.424582,0.000000,0.000000,291.392300
-4.314934,1.600000,0.485958,0.000000,0.000000,162.930100
-4.314934,1.600000,0.526054,0.000000,0.000000,249.401400
-4.314934,1.600000,0.564778,0.000000,0.000000,258.237800
-4.314934,1.600000,0.598598,0.000000,0.000000,295.683000
-4.314934,1.600000,0.632609,0.000000,0.000000,294.022500
-4.314934,1.600000,0.672522,0.000000,0.000000,250.545000
-4.314934,1.600000,0.709275,0.000000,0.000000,272.086600
-4.314934,1.600000,0.743207,0.000000,0.000000,294.707100
-4.314934,1.600000,0.777641,0.000000,0.000000,290.410600
-4.314934,1.600000,0.821854,0.000000,0.000000,226.177800
-4.314934,1.600000,0.861323,0.000000,0.000000,253.363400
-4.314934,1.600000,0.897286,0.000000,0.000000,278.063600
-4.314934,1.600000,0.931222,0.000000,0.000000,294.672300
-4.314934,1.600000,0.973973,0.000000,0.000000,233.912700
-4.314934,1.600000,1.008264,0.000000,0.000000,291.621700
-4.314934,1.600000,1.047498,0.000000,0.000000,254.881000
-4.314934,1.600000,1.083607,0.000000,0.000000,276.939300
-4.314934,1.600000,1.125082,0.000000,0.000000,241.109100
-4.314934,1.600000,1.160575,0.000000,0.000000,281.745700
-4.314934,1.600000,1.197410,0.000000,0.000000,271.480900
-4.314934,1.600000,1.233028,0.000000,0.000000,280.756900
-4.314934,1.600000,1.277725,0.000000,0.000000,223.728700
-4.314934,1.600000,1.321795,0.000000,0.000000,226.911700
-4.314934,1.600000,1.364964,0.000000,0.000000,231.647700
-4.314934,1.600000,1.404828,0.000000,0.000000,250.852900
-4.314934,1.600000,1.446538,0.000000,0.000000,239.750700
-4.314934,1.600000,1.487576,0.000000,0.000000,243.676600
-4.314934,1.600000,1.529981,0.000000,0.000000,235.821300
-4.314934,1.600000,1.564893,0.000000,0.000000,286.434400
-4.314934,1.600000,1.604539,0.000000,0.000000,252.232200
-4.314934,1.600000,1.646225,0.000000,0.000000,239.888700
-4.314934,1.600000,1.690587,0.000000,0.000000,225.418200
-4.314934,1.600000,1.725437,0.000000,0.000000,286.944100
-4.314934,1.600000,1.763695,0.000000,0.000000,261.383200
-4.314934,1.600000,1.803263,0.000000,0.000000,252.729500
-4.314934,1.600000,1.850824,0.000000,0.000000,210.256300
-4.314934,1.600000,1.885942,0.000000,0.000000,284.754300
-4.314934,1.600000,1.923903,0.000000,0.000000,263.428300
-4.314934,1.600000,1.957729,0.000000,0.000000,295.630600
-4.314934,1.600000,1.998868,0.000000,0.000000,243.078300
-4.314934,1.600000,2.038703,0.000000,0.000000,251.035500
-4.314934,1.600000,2.079775,0.000000,0.000000,243.474900
-4.314934,1.600000,2.113549,0.000000,0.000000,296.085700
-4.314934,1.600000,2.153137,0.000000,0.000000,252.601800
-4.314934,1.600000,2.188775,0.000000,0.000000,280.599400
-4.314934,1.600000,2.226857,0.000000,0.000000,262.591200
-4.314934,1.600000,2.265100,0.000000,0.000000,261.485800
-4.314934,1.600000,2.302632,0.000000,0.000000,266.439300
-4.314934,1.600000,2.345689,0.000000,0.000000,232.250300
-4.314934,1.600000,2.387101,0.000000,0.000000,241.475900
-4.314934,1.600000,2.422879,0.000000,0.000000,279.501400
-4.314934,1.600000,2.463138,0.000000,0.000000,248.391700
-4.314934,1.600000,2.536330,0.000000,0.000000,136.627000
-4.314934,1.600000,2.572106,0.000000,0.000000,279.517000
-4.314934,1.600000,2.606158,0.000000,0.000000,293.668500
-4.314934,1.600000,2.651556,0.000000,0.000000,220.274000
-4.314934,1.600000,2.691083,0.000000,0.000000,252.998000
-4.314934,1.600000,2.731673,0.000000,0.000000,246.366100
-4.314934,1.600000,2.765819,0.000000,0.000000,292.851500
-4.314934,1.600000,2.805820,0.000000,0.000000,249.993800
-4.314934,1.600000,2.849548,0.000000,0.000000,228.686400
-4.314934,1.600000,2.890008,0.000000,0.000000,247.157700
-4.314934,1.600000,2.924399,0.000000,0.000000,290.773700
-4.314934,1.600000,2.967215,0.000000,0.000000,233.557500
-4.314934,1.600000,3.005574,0.000000,0.000000,260.695000
-4.314934,1.600000,3.048169,0.000000,0.000000,234.769300
-4.314934,1.600000,3.082583,0.000000,0.000000,290.579400
-4.314934,1.600000,3.117826,0.000000,0.000000,283.752300
-4.314934,1.600000,3.158136,0.000000,0.000000,248.077400
-4.314934,1.600000,3.194937,0.000000,0.000000,271.724400
-4.314934,1.600000,3.230792,0.000000,0.000000,278.908900
-4.314934,1.600000,3.271229,0.000000,0.000000,247.292200
-4.314934,1.600000,3.308645,0.000000,0.000000,267.272500
-4.314934,1.600000,3.346457,0.000000,0.000000,264.459300
-4.314934,1.600000,3.383955,0.000000,0.000000,266.680900
-4.314934,1.600000,3.422123,0.000000,0.000000,261.999600
-4.314934,1.600000,3.466556,0.000000,0.000000,225.058000
-4.314934,1.600000,3.505665,0.000000,0.000000,255.695600
-4.314934,1.600000,3.540422,0.000000,0.000000,287.711800
-4.314934,1.600000,3.574984,0.000000,0.000000,289.335100
-4.314934,1.600000,3.610182,0.000000,0.000000,284.107100
-4.314934,1.600000,3.650136,0.000000,0.000000,250.294100
-4.314934,1.600000,3.688148,0.000000,0.000000,263.067900
-4.314934,1.600000,3.721709,0.000000,0.000000,297.964900
-4.314934,1.600000,3.758496,0.000000,0.000000,271.835200
-4.314934,1.600000,3.806643,0.000000,0.000000,207.697300
-4.314934,1.600000,3.849588,0.000000,0.000000,232.856000
-4.314934,1.600000,3.883059,0.000000,0.000000,298.766100
-4.314934,1.600000,3.919657,0.000000,0.000000,273.239000
-4.314934,1.600000,3.958581,0.000000,0.000000,256.910900
-4.314934,1.600000,3.994873,0.000000,0.000000,275.550400
-4.314934,1.600000,4.029871,0.000000,0.000000,285.730600
-4.314934,1.600000,4.068116,0.000000,0.000000,261.472100
-4.314934,1.600000,4.103071,0.000000,0.000000,286.082100
-4.314934,1.600000,4.137638,0.000000,0.000000,289.293300
-4.314934,1.600000,4.173858,0.000000,0.000000,276.090500
-4.314934,1.600000,4.207505,0.000000,0.000000,297.203300
-4.314934,1.600000,4.246024,0.000000,0.000000,259.612100
