X,Y,Rotation,Main Thread,Vertices,Triangles,Draw Calls,FPS
-5.396420,1.600000,1.440000,41.852083,252.000000,234.000000,366.000000,23.892723
-5.396420,1.600000,2.880000,41.683906,252.000000,234.000000,366.000000,23.986029
-5.396420,1.600000,4.320001,41.777760,251.000000,234.000000,368.000000,23.934540
-5.396420,1.600000,5.760001,41.665937,250.000000,234.000000,378.000000,23.997990
-5.396420,1.600000,7.200000,41.976146,244.000000,229.000000,376.000000,23.822405
-5.396420,1.600000,8.640000,41.459584,215.000000,195.000000,372.000000,24.114817
-5.396420,1.600000,10.080000,41.978021,169.000000,148.000000,353.000000,23.820425
-5.396420,1.600000,11.520000,29.979844,172.000000,149.000000,355.000000,33.351807
-5.396420,1.600000,12.960000,28.817188,175.000000,152.000000,360.000000,34.711048
-5.396420,1.600000,14.400000,27.411771,139.000000,113.000000,353.000000,36.471256
-5.396420,1.600000,15.840010,28.112084,136.000000,110.000000,356.000000,35.562008
-5.396420,1.600000,17.280000,28.018438,137.000000,110.000000,353.000000,35.673409
-5.396420,1.600000,18.720010,27.859166,135.000000,110.000000,352.000000,35.885502
-5.396420,1.600000,20.160010,28.142031,136.000000,111.000000,359.000000,35.505127
-5.396420,1.600000,21.600010,28.002084,133.000000,110.000000,357.000000,35.707245
-5.396420,1.600000,23.040000,27.916042,115.000000,91.000000,353.000000,35.815483
-5.396420,1.600000,24.480010,27.833594,108.000000,85.000000,340.000000,35.922028
-5.396420,1.600000,25.920010,27.794532,105.000000,84.000000,340.000000,35.971630
-5.396420,1.600000,27.360010,28.131718,109.000000,86.000000,348.000000,35.542656
-5.396420,1.600000,28.800000,28.212239,110.000000,88.000000,350.000000,35.440899
-5.396420,1.600000,30.240010,28.614166,111.000000,88.000000,348.000000,34.942318
-5.396420,1.600000,31.680010,28.154375,112.000000,88.000000,348.000000,35.513203
-5.396420,1.600000,33.120010,28.143438,114.000000,90.000000,353.000000,35.526737
-5.396420,1.600000,34.560010,27.185833,115.000000,90.000000,354.000000,36.779636
-5.396420,1.600000,36.000010,27.462031,115.000000,90.000000,354.000000,36.407078
-5.396420,1.600000,37.440010,28.151771,117.000000,92.000000,360.000000,35.518131
-5.396420,1.600000,38.880010,27.431458,120.000000,93.000000,362.000000,36.448338
-5.396420,1.600000,40.320010,27.399427,116.000000,90.000000,353.000000,36.489346
-5.396420,1.600000,41.760010,28.241197,117.000000,90.000000,354.000000,35.405869
-5.396420,1.600000,43.200010,27.138229,120.000000,92.000000,358.000000,36.845627
-5.396420,1.600000,44.640010,27.823593,124.000000,94.000000,362.000000,35.929958
-5.396420,1.600000,46.080010,28.211562,124.000000,94.000000,361.000000,35.441486
