X,Y,Rotation,Main Thread,Vertices,Triangles,Draw Calls,FPS
-40.297650,1.587469,1.440000,41.713958,524.000000,453.000000,438.000000,23.969828
-40.297650,1.587469,2.880000,41.730364,524.000000,453.000000,438.000000,23.961363
-40.297650,1.587469,4.320001,42.433229,534.000000,458.000000,455.000000,23.565571
-40.297650,1.587469,5.760001,40.941666,529.000000,456.000000,446.000000,24.422665
-40.297650,1.587469,7.200000,41.349792,532.000000,458.000000,447.000000,24.179592
-40.297650,1.587469,8.640000,41.558281,534.000000,459.000000,443.000000,24.059669
-40.297650,1.587469,10.080000,42.472448,533.000000,459.000000,444.000000,23.542942
-40.297650,1.587469,11.520000,40.167604,533.000000,459.000000,429.000000,24.893101
-40.297650,1.587469,12.960000,41.822448,532.000000,458.000000,443.000000,23.908459
-40.297650,1.587469,14.400000,41.819740,533.000000,459.000000,436.000000,23.909920
-40.297650,1.587469,15.840010,42.305834,530.000000,457.000000,444.000000,23.636093
-40.297650,1.587469,17.280000,41.572292,532.000000,459.000000,445.000000,24.051893
-40.297650,1.587469,18.720010,41.743906,531.000000,459.000000,441.000000,23.953081
-40.297650,1.587469,20.160010,41.134062,531.000000,459.000000,432.000000,24.308752
-40.297650,1.587469,21.600010,42.095885,532.000000,459.000000,431.000000,23.753233
-40.297650,1.587469,23.040000,41.220834,530.000000,457.000000,447.000000,24.257769
-40.297650,1.587469,24.480010,41.695052,529.000000,456.000000,448.000000,23.980396
-40.297650,1.587469,25.920010,41.997448,523.000000,453.000000,420.000000,23.808018
-40.297650,1.587469,27.360010,42.488645,520.000000,452.000000,417.000000,23.533766
-40.297650,1.587469,28.800000,41.402083,523.000000,454.000000,421.000000,24.151489
-40.297650,1.587469,30.240010,41.808594,521.000000,453.000000,426.000000,23.915756
-40.297650,1.587469,31.680010,41.812500,520.000000,452.000000,424.000000,23.913910
-40.297650,1.587469,33.120010,42.199844,514.000000,448.000000,436.000000,23.694284
-40.297650,1.587469,34.560010,41.621459,515.000000,450.000000,429.000000,24.025286
-40.297650,1.587469,36.000010,41.928802,506.000000,443.000000,419.000000,23.846666
-40.297650,1.587469,37.440010,41.568229,504.000000,441.000000,415.000000,24.054483
-40.297650,1.587469,38.880010,42.004531,499.000000,438.000000,411.000000,23.804831
-40.297650,1.587469,40.320010,41.495729,502.000000,440.000000,415.000000,24.096598
-40.297650,1.587469,41.760010,41.912136,501.000000,439.000000,415.000000,23.857391
-40.297650,1.587469,43.200010,41.681667,494.000000,434.000000,407.000000,23.990166
-40.297650,1.587469,44.640010,42.065833,494.000000,434.000000,405.000000,23.768347
-40.297650,1.587469,46.080010,41.498489,496.000000,434.000000,398.000000,24.095144
-40.297650,1.587469,47.520010,41.967448,492.000000,431.000000,404.000000,23.825624
-40.297650,1.587469,48.960010,41.967813,497.000000,435.000000,413.000000,23.825716
-40.297650,1.587469,50.400010,42.218593,499.000000,435.000000,412.000000,23.683441
-40.297650,1.587469,51.840010,41.974791,498.000000,434.000000,415.000000,23.821398
-40.297650,1.587469,53.280010,41.731303,488.000000,427.000000,398.000000,23.961063
-40.297650,1.587469,54.720020,42.123698,489.000000,427.000000,398.000000,23.737669
-40.297650,1.587469,56.160020,41.516615,489.000000,428.000000,397.000000,24.084053
-40.297650,1.587469,57.600020,43.304739,491.000000,429.000000,401.000000,23.101885
-40.297650,1.587469,59.040010,39.846354,487.000000,426.000000,401.000000,25.079222
-40.297650,1.587469,60.480010,41.739896,493.000000,430.000000,413.000000,23.955563
-40.297650,1.587469,61.920020,41.685312,492.000000,429.000000,402.000000,23.986717
-40.297650,1.587469,63.360010,42.007917,488.000000,426.000000,397.000000,23.802380
-40.297650,1.587469,64.800010,41.589636,487.000000,426.000000,402.000000,24.042587
-40.297650,1.587469,66.240010,42.141667,478.000000,417.000000,381.000000,23.727255
-40.297650,1.587469,67.680020,42.044219,477.000000,416.000000,396.000000,23.782478
-40.297650,1.587469,69.120020,42.078750,473.000000,413.000000,395.000000,23.762465
-40.297650,1.587469,70.560010,41.699532,453.000000,396.000000,374.000000,23.978989
-40.297650,1.587469,72.000020,42.275520,436.000000,378.000000,373.000000,23.651583
-40.297650,1.587469,73.440020,42.096406,431.000000,374.000000,364.000000,23.753027
-40.297650,1.587469,74.880020,41.910834,394.000000,332.000000,355.000000,23.857748
-40.297650,1.587469,76.320030,42.456979,348.000000,287.000000,341.000000,23.553167
-40.297650,1.587469,77.760030,42.784219,360.000000,320.000000,342.000000,23.370913
-40.297650,1.587469,79.200020,43.086510,353.000000,315.000000,321.000000,23.203680
-40.297650,1.587469,80.640020,42.760937,319.000000,276.000000,309.000000,23.383266
-40.297650,1.587469,82.080020,42.897761,313.000000,271.000000,298.000000,23.308693
-40.297650,1.587469,83.520030,42.303802,307.000000,276.000000,299.000000,23.636414
-40.297650,1.587469,84.960030,41.917969,301.000000,273.000000,288.000000,23.853273
-40.297650,1.587469,86.400030,41.998958,283.000000,253.000000,283.000000,23.807871
-40.297650,1.587469,87.840030,42.591980,275.000000,249.000000,280.000000,23.477623
-40.297650,1.587469,89.280020,29.588541,277.000000,249.000000,275.000000,33.794010
-40.297650,1.587469,90.720020,28.933125,279.000000,250.000000,276.000000,34.552074
-40.297650,1.587469,92.160030,27.719480,266.000000,234.000000,275.000000,36.085545
-40.297650,1.587469,93.600020,27.959583,261.000000,232.000000,265.000000,35.741077
-40.297650,1.587469,95.040020,27.722969,257.000000,229.000000,273.000000,36.064804
-40.297650,1.587469,96.480020,28.144792,251.000000,223.000000,258.000000,35.525887
-40.297650,1.587469,97.920020,27.724218,231.000000,201.000000,244.000000,36.086292
-40.297650,1.587469,99.360020,26.705417,210.000000,180.000000,240.000000,37.431061
-40.297650,1.587469,100.800000,27.741771,212.000000,181.000000,233.000000,36.020554
-40.297650,1.587469,102.240000,28.385000,211.000000,181.000000,222.000000,35.242874
-40.297650,1.587469,103.680000,28.240937,205.000000,177.000000,212.000000,35.394447
-40.297650,1.587469,105.120000,28.638490,199.000000,173.000000,202.000000,34.890568
-40.297650,1.587469,106.560000,28.243282,201.000000,175.000000,206.000000,35.401234
-40.297650,1.587469,108.000000,27.868542,166.000000,148.000000,136.000000,35.878933
-40.297650,1.587469,109.440000,28.470886,138.000000,131.000000,111.000000,35.119747
-40.297650,1.587469,110.880000,27.994531,139.000000,131.000000,107.000000,35.716545
-40.297650,1.587469,112.320000,27.767864,141.000000,132.000000,107.000000,36.006504
-40.297650,1.587469,113.760000,27.969063,143.000000,134.000000,118.000000,35.748466
-40.297650,1.587469,115.200000,27.901980,142.000000,133.000000,111.000000,35.835270
-40.297650,1.587469,116.640000,27.798645,143.000000,134.000000,110.000000,35.968056
-40.297650,1.587469,118.080000,27.833438,143.000000,134.000000,115.000000,35.921021
-40.297650,1.587469,119.520000,27.825208,142.000000,134.000000,118.000000,35.932850
-40.297650,1.587469,120.960000,27.799427,142.000000,134.000000,116.000000,35.967587
-40.297650,1.587469,122.400000,27.787760,144.000000,134.000000,120.000000,35.979313
-40.297650,1.587469,123.840000,27.962708,141.000000,133.000000,119.000000,35.760715
-40.297650,1.587469,125.280000,27.671250,142.000000,133.000000,116.000000,36.130363
-40.297650,1.587469,126.720000,27.867865,140.000000,132.000000,114.000000,35.878597
-40.297650,1.587469,128.160000,27.906771,139.000000,132.000000,117.000000,35.829384
-40.297650,1.587469,129.600000,27.926666,141.000000,133.000000,119.000000,35.802795
-40.297650,1.587469,131.040000,27.893906,141.000000,133.000000,123.000000,35.846176
-40.297650,1.587469,132.480000,27.791146,140.000000,133.000000,125.000000,35.976410
-40.297650,1.587469,133.920000,27.811615,140.000000,133.000000,126.000000,35.955395
-40.297650,1.587469,135.360000,27.829635,139.000000,133.000000,131.000000,35.922295
-40.297650,1.587469,136.800000,27.830416,137.000000,132.000000,127.000000,35.927406
-40.297650,1.587469,138.240000,27.945990,137.000000,132.000000,129.000000,35.778774
-40.297650,1.587469,139.680000,27.805938,139.000000,133.000000,129.000000,35.957413
-40.297650,1.587469,141.120000,27.820468,142.000000,135.000000,136.000000,35.942738
-40.297650,1.587469,142.560000,27.929896,140.000000,134.000000,134.000000,35.796650
-40.297650,1.587469,144.000000,27.734271,143.000000,135.000000,133.000000,36.050583
-40.297650,1.587469,145.440000,27.930729,142.000000,134.000000,138.000000,35.797321
-40.297650,1.587469,146.880000,27.801927,147.000000,137.000000,134.000000,35.963608
-40.297650,1.587469,148.320000,27.899844,147.000000,137.000000,137.000000,35.838280
-40.297650,1.587469,149.760000,27.843958,150.000000,139.000000,146.000000,35.908726
-40.297650,1.587469,151.200000,27.789427,153.000000,141.000000,144.000000,35.985584
-40.297650,1.587469,152.640000,27.709323,156.000000,143.000000,151.000000,36.073544
-40.297650,1.587469,154.080000,27.894584,157.000000,143.000000,150.000000,35.843700
-40.297650,1.587469,155.520000,27.920729,158.000000,144.000000,153.000000,35.811607
-40.297650,1.587469,156.960000,27.847292,159.000000,144.000000,154.000000,35.905636
-40.297650,1.587469,158.400000,27.977864,160.000000,145.000000,149.000000,35.738949
-40.297650,1.587469,159.840000,27.824583,165.000000,147.000000,151.000000,35.935204
-40.297650,1.587469,161.280000,27.678542,163.000000,146.000000,156.000000,36.121120
-40.297650,1.587469,162.720000,27.983594,164.000000,148.000000,153.000000,35.729904
-40.297650,1.587469,164.160000,28.029948,167.000000,149.000000,158.000000,35.672020
-40.297650,1.587469,165.600000,27.646302,170.000000,150.000000,164.000000,36.168205
-40.297650,1.587469,167.040000,27.967760,170.000000,150.000000,161.000000,35.750862
-40.297650,1.587469,168.480000,27.810885,168.000000,150.000000,159.000000,35.950409
-40.297650,1.587469,169.920000,27.654688,168.000000,150.000000,158.000000,36.153358
-40.297650,1.587469,171.360000,27.892864,170.000000,150.000000,160.000000,35.847980
-40.297650,1.587469,172.800000,28.004948,177.000000,153.000000,158.000000,35.701069
-40.297650,1.587469,174.240000,27.747708,177.000000,153.000000,162.000000,36.035358
-40.297650,1.587469,175.680000,27.840625,176.000000,152.000000,164.000000,35.913429
-40.297650,1.587469,177.120000,27.987240,179.000000,155.000000,166.000000,35.724983
-40.297650,1.587469,178.560000,27.582500,180.000000,155.000000,164.000000,36.249943
-40.297650,1.587469,180.000000,27.870208,179.000000,155.000000,167.000000,35.875175
-40.297650,1.587469,181.440000,27.928385,179.000000,155.000000,162.000000,35.803062
-40.297650,1.587469,182.880000,27.900365,181.000000,156.000000,169.000000,35.834267
-40.297650,1.587469,184.320000,27.794792,182.000000,157.000000,171.000000,35.973312
-40.297650,1.587469,185.760000,27.938802,182.000000,156.000000,171.000000,35.788246
-40.297650,1.587469,187.200000,27.627500,180.000000,156.000000,164.000000,36.191387
-40.297650,1.587469,188.640000,27.849322,151.000000,105.000000,160.000000,35.899998
-40.297650,1.587469,190.080000,27.847448,153.000000,106.000000,164.000000,35.904694
-40.297650,1.587469,191.520000,27.943802,151.000000,105.000000,166.000000,35.781643
-40.297650,1.587469,192.960000,27.745261,132.000000,77.000000,163.000000,36.036709
-40.297650,1.587469,194.400000,28.074219,130.000000,76.000000,159.000000,35.613529
-40.297650,1.587469,195.840000,27.554739,130.000000,76.000000,159.000000,36.288723
-40.297650,1.587469,197.280000,27.933906,132.000000,76.000000,159.000000,35.792450
-40.297650,1.587469,198.720000,27.803334,132.000000,76.000000,160.000000,35.961857
-40.297650,1.587469,200.160000,27.884740,131.000000,76.000000,158.000000,35.858627
-40.297650,1.587469,201.600000,27.853593,129.000000,75.000000,162.000000,35.895363
-40.297650,1.587469,203.040000,28.024271,129.000000,75.000000,157.000000,35.677982
-40.297650,1.587469,204.480000,27.626875,127.000000,74.000000,153.000000,36.190567
-40.297650,1.587469,205.920000,27.843125,127.000000,74.000000,152.000000,35.911545
-40.297650,1.587469,207.360000,27.832032,129.000000,75.000000,156.000000,35.923908
-40.297650,1.587469,208.800000,27.828333,127.000000,75.000000,152.000000,35.932449
-40.297650,1.587469,210.240000,27.993021,119.000000,71.000000,149.000000,35.715347
-40.297650,1.587469,211.680000,27.952395,120.000000,71.000000,155.000000,35.769909
-40.297650,1.587469,213.120000,27.603542,118.000000,69.000000,147.000000,36.221634
-40.297650,1.587469,214.560100,27.819271,116.000000,68.000000,145.000000,35.943207
