X,Y,Rotation,Main Thread,Vertices,Triangles,Draw Calls,FPS
-5.396420,1.600000,1.440000,40.238802,252.000000,235.000000,302.000000,24.833923
-5.396420,1.600000,2.880000,41.478854,252.000000,235.000000,302.000000,24.105402
-5.396420,1.600000,4.320001,42.019427,251.000000,234.000000,299.000000,23.796156
-5.396420,1.600000,5.760001,29.238802,251.000000,234.000000,302.000000,34.207466
-5.396420,1.600000,7.200000,40.779479,245.000000,229.000000,303.000000,24.513245
-5.396420,1.600000,8.640000,41.357188,215.000000,195.000000,295.000000,24.172136
-5.396420,1.600000,10.080000,29.974427,169.000000,148.000000,275.000000,33.357483
-5.396420,1.600000,11.520000,27.639740,172.000000,149.000000,276.000000,36.200802
-5.396420,1.600000,12.960000,27.716146,175.000000,152.000000,282.000000,36.055458
-5.396420,1.600000,14.400000,27.415885,139.000000,113.000000,276.000000,36.432499
-5.396420,1.600000,15.840010,28.227031,136.000000,110.000000,279.000000,35.420174
-5.396420,1.600000,17.280000,27.650833,137.000000,110.000000,276.000000,36.158806
-5.396420,1.600000,18.720010,28.279219,135.000000,110.000000,276.000000,35.357162
-5.396420,1.600000,20.160010,28.101406,136.000000,111.000000,283.000000,35.581188
-5.396420,1.600000,21.600010,29.121510,133.000000,110.000000,281.000000,34.327579
-5.396420,1.600000,23.040000,27.928177,115.000000,91.000000,278.000000,35.800190
-5.396420,1.600000,24.480010,28.272760,108.000000,85.000000,266.000000,35.364063
-5.396420,1.600000,25.920010,27.973177,105.000000,84.000000,265.000000,35.743141
-5.396420,1.600000,27.360010,28.429792,109.000000,86.000000,273.000000,35.169926
-5.396420,1.600000,28.800000,28.564427,110.000000,88.000000,275.000000,35.001049
-5.396420,1.600000,30.240010,27.904948,111.000000,88.000000,275.000000,35.831455
-5.396420,1.600000,31.680010,28.321563,112.000000,88.000000,275.000000,35.302361
-5.396420,1.600000,33.120010,27.763854,114.000000,90.000000,281.000000,36.010960
-5.396420,1.600000,34.560010,27.815937,115.000000,90.000000,282.000000,35.946102
-5.396420,1.600000,36.000010,28.418698,116.000000,91.000000,285.000000,35.182686
-5.396420,1.600000,37.440010,27.878438,117.000000,92.000000,290.000000,35.862110
-5.396420,1.600000,38.880010,26.678177,120.000000,93.000000,292.000000,37.478554
-5.396420,1.600000,40.320010,27.150885,116.000000,90.000000,283.000000,36.822029
-5.396420,1.600000,41.760010,28.454271,117.000000,90.000000,283.000000,35.136776
-5.396420,1.600000,43.200010,27.087969,123.000000,94.000000,289.000000,36.912144
-5.396420,1.600000,44.640010,27.872552,124.000000,94.000000,290.000000,35.869949
-5.396420,1.600000,46.080010,28.143489,124.000000,94.000000,289.000000,35.527859
-5.396420,1.600000,47.520010,27.745781,133.000000,100.000000,299.000000,36.035358
-5.396420,1.600000,48.960010,27.788125,141.000000,105.000000,307.000000,35.981468
-5.396420,1.600000,50.400010,27.983438,147.000000,109.000000,318.000000,35.728508
-5.396420,1.600000,51.840010,27.896510,154.000000,113.000000,325.000000,35.840622
-5.396420,1.600000,53.280010,27.489114,157.000000,114.000000,329.000000,36.372177
-5.396420,1.600000,54.720020,28.151979,156.000000,114.000000,329.000000,35.517670
-5.396420,1.600000,56.160020,26.478854,160.000000,116.000000,333.000000,37.783821
-5.396420,1.600000,57.600020,27.921302,171.000000,121.000000,342.000000,35.805462
-5.396420,1.600000,59.040010,27.154584,178.000000,125.000000,348.000000,36.800293
-5.396420,1.600000,60.480010,28.117604,185.000000,129.000000,356.000000,35.540352
-5.396420,1.600000,61.920020,26.963177,194.000000,133.000000,363.000000,37.082676
-5.396420,1.600000,63.360010,28.066041,200.000000,136.000000,369.000000,35.594513
-5.396420,1.600000,64.800010,27.646823,205.000000,139.000000,372.000000,36.167999
-5.396420,1.600000,66.240010,27.329114,209.000000,141.000000,374.000000,36.586201
-5.396420,1.600000,67.680020,27.010209,216.000000,144.000000,379.000000,37.008553
-5.396420,1.600000,69.120020,28.157291,225.000000,149.000000,387.000000,35.492916
-5.396420,1.600000,70.560010,28.181667,233.000000,153.000000,394.000000,35.457848
-5.396420,1.600000,72.000020,27.972761,244.000000,160.000000,408.000000,35.746735
-5.396420,1.600000,73.440020,27.665261,247.000000,162.000000,411.000000,36.150021
-5.396420,1.600000,74.880020,27.905990,260.000000,170.000000,426.000000,35.819958
-5.396420,1.600000,76.320030,27.798646,265.000000,173.000000,432.000000,35.952091
-5.396420,1.600000,77.760030,27.518229,275.000000,179.000000,442.000000,36.342300
-5.396420,1.600000,79.200020,27.838490,279.000000,181.000000,448.000000,35.901943
-5.396420,1.600000,80.640020,26.749219,286.000000,184.000000,454.000000,37.353722
-5.396420,1.600000,82.080020,27.725417,289.000000,186.000000,459.000000,36.057018
-5.396420,1.600000,83.520030,41.042239,295.000000,189.000000,468.000000,24.360228
-5.396420,1.600000,84.960030,40.603698,297.000000,188.000000,465.000000,24.626245
-5.396420,1.600000,86.400030,30.352500,300.000000,190.000000,468.000000,32.943897
-5.396420,1.600000,87.840030,27.989115,300.000000,190.000000,467.000000,35.732563
-5.396420,1.600000,89.280020,40.156406,300.000000,190.000000,467.000000,24.888391
-5.396420,1.600000,90.720020,29.202032,301.000000,190.000000,467.000000,34.269314
-5.396420,1.600000,92.160030,26.979062,300.000000,189.000000,463.000000,37.049686
-5.396420,1.600000,93.600020,40.759115,300.000000,189.000000,462.000000,24.517815
-5.396420,1.600000,95.040020,41.366302,298.000000,187.000000,458.000000,24.171072
-5.396420,1.600000,96.480020,29.943698,297.000000,187.000000,458.000000,33.392872
-5.396420,1.600000,97.920020,28.260208,294.000000,185.000000,452.000000,35.385052
-5.396420,1.600000,99.360020,39.973333,288.000000,180.000000,437.000000,25.006218
-5.396420,1.600000,100.800000,42.270521,287.000000,180.000000,436.000000,23.659422
-5.396420,1.600000,102.240000,29.044896,286.000000,179.000000,433.000000,34.413414
-5.396420,1.600000,103.680000,28.283542,284.000000,178.000000,428.000000,35.373119
-5.396420,1.600000,105.120000,27.576615,280.000000,176.000000,415.000000,36.253227
-5.396420,1.600000,106.560000,39.932656,278.000000,175.000000,413.000000,25.022091
-5.396420,1.600000,108.000000,40.751875,277.000000,174.000000,410.000000,24.536144
-5.396420,1.600000,109.440000,29.827604,276.000000,173.000000,407.000000,33.520256
-5.396420,1.600000,110.880000,27.690052,275.000000,172.000000,406.000000,36.129684
-5.396420,1.600000,112.320000,40.578854,275.000000,172.000000,402.000000,24.623024
-5.396420,1.600000,113.760000,41.116718,273.000000,171.000000,395.000000,24.315956
-5.396420,1.600000,115.200000,30.380834,269.000000,168.000000,388.000000,32.910183
-5.396420,1.600000,116.640000,28.233333,268.000000,167.000000,386.000000,35.422592
-5.396420,1.600000,118.080000,27.352240,263.000000,163.000000,369.000000,36.562164
-5.396420,1.600000,119.520000,27.896719,260.000000,162.000000,363.000000,35.838749
-5.396420,1.600000,120.960000,27.911771,256.000000,159.000000,358.000000,35.812675
-5.396420,1.600000,122.400000,27.442760,254.000000,156.000000,352.000000,36.417850
-5.396420,1.600000,123.840000,28.195469,252.000000,156.000000,349.000000,35.457916
